Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Jacarepaguá;1;0;0;53;1000.0;363.0;13.0
Centro;1;0;0;41;800.0;384.0;17.0
Honório Gurgel;1;0;0;80;750.0;2457.0;861.5
Braz de Pina;1;0;0;30;850.0;903.5;1187.25
Jacarepaguá;1;0;0;37;1100.0;308.0;16.0
Andaraí;1;1;0;50;1000.0;464.0;25.0
Anil;1;0;0;30;550.0;13.0;8.0
Guadalupe;1;0;0;60;700.0;2160.0;1703.0
Vila da Penha;1;0;0;48;750.0;245.0;28.25
Méier;1;1;0;42;900.0;405.0;17.0
Centro;1;0;0;33;750.0;486.0;25.0
Méier;1;1;0;45;800.0;200.0;50.0
Glória;1;0;0;43;1000.0;503.0;15.0
Pechincha;1;0;0;46;800.0;545.0;14.0
Pedra de Guaratiba;1;0;0;42;580.0;397.5;13.666666666666666
Barra da Tijuca;1;1;0;42;800.0;758.0;167.5
Vila Isabel;1;0;0;41;1100.0;390.0;24.0
Botafogo;1;0;0;23;850.0;581.0;30.0
Catete;1;0;0;42;1000.0;530.0;110.0
Senador Vasconcelos;1;1;0;80;690.0;1040.0;632.3333333333334
Santa Teresa;1;0;0;25;850.0;370.0;14.0
Copacabana;1;0;0;41;900.0;700.0;219.66666666666666
Cachambi;1;1;0;54;900.0;500.0;39.0
Barra da Tijuca;1;1;0;42;850.0;762.0;40.0
Campo Grande;1;0;0;40;500.0;2350.0;1262.5
Tijuca;1;1;0;50;1100.0;567.0;20.0
Centro;1;0;0;46;850.0;550.0;45.0
Encantado;1;1;0;45;900.0;496.0;80.0
Botafogo;1;0;0;26;1100.0;270.0;365.5
Marechal Hermes;1;1;0;48;600.0;155.0;430.75
Tijuca;1;0;1;40;1100.0;390.0;25.0
Vila Isabel;1;0;0;30;1100.0;385.0;21.0
Méier;1;0;0;60;900.0;582.0;20.0
Vila da Penha;1;0;0;35;800.0;1448.5;1904.0
Gardênia Azul;1;0;0;30;705.0;1685.0;103.5
Vila Isabel;1;0;0;30;1100.0;400.0;387.0
Vila Isabel;1;0;0;60;800.0;303.0;25.0
Santa Teresa;1;0;0;27;900.0;340.0;130.0
Penha;1;0;0;45;900.0;2425.0;725.3333333333334
Glória;1;0;0;30;1000.0;500.0;20.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;125.0
Freguesia (Jacarepaguá);1;1;0;60;950.0;583.0;140.0
Higienópolis;1;0;0;45;700.0;1519.5;25.0
Engenho Novo;1;0;1;40;500.0;456.0;36.0
Freguesia (Jacarepaguá);1;1;0;48;1000.0;450.0;498.75
Ricardo de Albuquerque;1;0;0;25;350.0;1115.0;296.5
Praça da Bandeira;1;0;0;22;800.0;130.0;25.0
Botafogo;1;0;0;24;1000.0;500.0;30.0
Anil;1;0;0;52;1000.0;2375.0;525.5
Barra da Tijuca;1;1;1;44;1000.0;790.0;15.0
Rocha Miranda;1;0;0;28;800.0;675.5;130.0
Centro;1;0;0;40;1000.0;383.0;25.0
Riachuelo;1;0;1;40;1100.0;229.0;104.0
Copacabana;1;0;0;30;1000.0;600.0;56.0
Catumbi;1;0;0;40;1000.0;146.0;229.5
Freguesia (Jacarepaguá);1;1;0;56;700.0;770.0;18.0
Copacabana;1;0;0;28;1000.0;350.0;153.66666666666666
Tanque;1;0;0;75;1100.0;625.0;14.0
Vila da Penha;1;0;0;42;600.0;210.0;875.0
Vicente de Carvalho;1;0;0;33;500.0;1588.6666666666667;17.0
Centro;1;0;0;27;600.0;420.0;89.0
Méier;1;0;0;40;600.0;250.0;13.0
Vaz Lobo;1;0;0;60;600.0;92.0;33.0
Campo Grande;1;0;0;35;500.0;2492.5;422.5
Jardim Guanabara;1;1;0;35;1000.0;171.0;25.0
Campo Grande;1;0;0;40;480.0;975.0;417.5
Olaria;1;0;0;25;790.0;1225.0;469.6666666666667
Riachuelo;1;1;0;46;950.0;550.0;16.0
Méier;1;1;0;40;900.0;456.0;20.0
Guadalupe;1;0;0;35;450.0;940.0;182.0
Pechincha;1;0;0;40;900.0;2550.0;13.0
Penha;1;0;0;40;850.0;478.5;54.5
Campinho;1;0;0;35;700.0;66.0;155.8
Centro;1;0;0;33;1150.0;370.0;20.0
Centro;1;0;0;35;1000.0;335.0;25.0
Guadalupe;1;0;0;25;450.0;848.5;113.5
Copacabana;1;0;0;35;1130.0;500.0;764.0
Penha;1;1;0;60;850.0;314.0;55.4
São Francisco Xavier;1;0;0;51;700.0;505.0;795.0
Tijuca;1;1;0;60;900.0;556.0;24.0
